experiment_id,stage,dataset,generator,parser,baseline_or_method,config_path,output_dir,requires_gpu,status,actually_run,key_result,result_path,notes
EXP-LOCAL-STATS-FLUX-GENEVAL,local_consolidation,GenEval-553,FLUX.1-schnell,Qwen2.5-VL-7B-Instruct,CSR-Select vs Fixed Seed-0,scripts/08_bootstrap_stats.py,outputs/tables,no,Completed,true,"Mean CSR-All diff 0.1230; 95% CI [0.1044, 0.1410]; p=5.74e-42",outputs/tables/statistical_significance_geneval_flux.csv,Paired bootstrap plus sign test from selected JSONL
EXP-LOCAL-TABLES-FIGURES,local_consolidation,audited-artifact-tables,multiple,multiple,Paper tables and SVG figures,scripts/12_make_tables.py; scripts/13_make_figures.py,outputs/tables; outputs/figures,no,Completed,true,Generated CSV tables and SVG figures from audited artifacts,outputs/tables/table_provenance.json,No new experimental inference
EXP-GPU-SMOKE-004-5,smoke_gpu,self-built-5,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / CLIPScore / CSR-Select,/root/autodl-tmp/projects/SCAlign_smoke_5_20260513_1228/run_smoke.sh,/root/autodl-tmp/projects/SCAlign_smoke_5_20260513_1228/outputs,yes,Completed,true,All mean CSR-All 0.6250; Fixed Seed-0 0.7333; CLIPScore 0.6000; CSR-Select 0.8333,server_audits/server_004_smoke_5_20260513_1228/outputs/ablation_clipscore_vs_csr.json,End-to-end GPU smoke test only; not paper-scale
EXP-GPU-SELF50-RERUN-004,self_built_full_gpu,self-built-50,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CLIPScore / CSR-Select,/root/autodl-tmp/projects/SCAlign_self50_rerun_20260513_1239/run_self50.sh,/root/autodl-tmp/projects/SCAlign_self50_rerun_20260513_1239/outputs,yes,Completed,true,All mean 0.5865; Fixed 0.5499; Random 0.5940; CLIPScore 0.6201; CSR-Select 0.7456,server_audits/server_004_self50_rerun_20260513_1239/outputs/ablation_clipscore_vs_csr.json,End-to-end rerun with 200 generated images and 200 Qwen parses
EXP-GPU-SELF50-RERUN-STATS-004,self_built_full_gpu,self-built-50,SDXL,Qwen2.5-VL-7B-Instruct,CSR-Select vs Fixed Seed-0 and CLIPScore,scripts/08_bootstrap_stats.py,outputs/tables,no,Completed,true,"vs Fixed diff 0.1957 CI [0.1389,0.2596]; vs CLIPScore diff 0.1256 CI [0.0736,0.1872]",outputs/tables/statistical_significance_self_built_50_rerun_vs_clipscore.csv,Stats computed locally from rerun selected JSONL
EXP-GPU-GENEVAL-CLIP-004,public_benchmark_gpu,GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CLIPScore / CSR-Select,/root/autodl-tmp/projects/SCAlign_geneval_clipscore_20260513_1317/scripts/18_clipscore_vs_csr_select.py,/root/autodl-tmp/projects/SCAlign_geneval_clipscore_20260513_1317/outputs,yes,Completed,true,All mean 0.6363; Fixed 0.6297; Random 0.6366; CLIPScore 0.6528; CSR-Select 0.7821,server_audits/server_004_geneval_clipscore_20260513_1317/outputs/ablation_clipscore_vs_csr.json,Reused existing GenEval SDXL images and CSR scores; no image generation or Qwen parsing rerun
EXP-GPU-GENEVAL-CLIP-STATS-004,public_benchmark_gpu,GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,CSR-Select vs Fixed Seed-0 and CLIPScore,scripts/08_bootstrap_stats.py,outputs/tables,no,Completed,true,"vs Fixed diff 0.1524 CI [0.1307,0.1722]; vs CLIPScore diff 0.1293 CI [0.1090,0.1505]",outputs/tables/statistical_significance_geneval_sdxl_vs_clipscore.csv,Stats computed locally from selected JSONL generated by unified baseline runner
EXP-GPU-GENEVAL-OFFICIAL-CLIP-004,public_benchmark_gpu,GenEval-553,SDXL,GenEval official evaluator,CLIPScore-Select official detector,/root/autodl-tmp/projects/SCAlign_geneval_clipscore_20260513_1317/run_official_clipscore_cpu.sh,/root/autodl-tmp/projects/SCAlign_geneval_clipscore_20260513_1317/outputs/geneval_official/clipscore_select,yes,Completed,true,CLIPScore-Select official overall 0.57826; Fixed 0.53885; SC-Select 0.62232,server_audits/server_004_geneval_clipscore_20260513_1317/outputs/geneval_official/clipscore_select/summary.txt,GPU probe failed on RTX 5090 because torch 1.12.1+cu113 has no kernel image; completed with CPU fallback
EXP-GPU-SELF300-REVIEWED-004,self_built_reviewed_gpu,self-built-300-reviewed,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CLIPScore / ImageReward / PickScore / HPSv2 / CSR-Select,/root/autodl-tmp/projects/SCAlign/run_300_orchestrator.sh,/root/autodl-tmp/projects/SCAlign/outputs,yes,Completed,true,Fixed 0.3819; Random 0.3437; CLIPScore 0.3779; ImageReward 0.3686; PickScore 0.3695; HPSv2 0.3808; CSR-Select 0.5122,server_audits/server_004_self300_20260513/outputs/self300_candidate_scores_all_rewards.csv,Real 300-prompt run; all 300 prompt/contract rows manually reviewed and checked:true
EXP-GPU-SELF300-REVIEWED-STATS-004,self_built_reviewed_gpu,self-built-300-reviewed,SDXL,Qwen2.5-VL-7B-Instruct,"CSR-Select vs Fixed Seed-0, CLIPScore, ImageReward, PickScore, and HPSv2",scripts/08_bootstrap_stats.py,outputs/tables,no,Completed,true,"vs Fixed diff 0.1303 CI [0.1116,0.1499]; vs CLIPScore diff 0.1343 CI [0.1145,0.1557]; vs ImageReward diff 0.1436 CI [0.1233,0.1638]; vs PickScore diff 0.1427 CI [0.1210,0.1648]; vs HPSv2 diff 0.1314 CI [0.1101,0.1548]",outputs/tables/statistical_significance_self300_vs_pickscore.csv,Stats computed locally from selected JSONL; ImageReward PickScore and HPSv2 completed after compatibility fixes
EXP-GPU-FLUX-SELF300-STRAT60-004,self_built_cross_generator_gpu,self-built-stratified-60,FLUX.1-schnell,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CLIPScore / ImageReward / PickScore / HPSv2 / CSR-Select,/root/autodl-tmp/projects/SCAlign/scripts/28_generate_images_flux_geneval.py,/root/autodl-tmp/projects/SCAlign/outputs/flux/self300_stratified_60,yes,Completed,true,Fixed 0.5853; Random 0.5392; CLIPScore 0.5603; ImageReward 0.5725; PickScore 0.5642; HPSv2 0.5900; CSR-Select 0.6667,server_audits/server_004_flux_self300_stratified_60_20260514/outputs/flux/self300_stratified_60/csr_scores/candidate_scores_all_rewards.csv,60 reviewed prompts sampled as 10 per category; 240 FLUX images; Qwen parsing 240/240 with 0 errors
EXP-GPU-FLUX-SELF300-STRAT60-STATS-004,self_built_cross_generator_gpu,self-built-stratified-60,FLUX.1-schnell,Qwen2.5-VL-7B-Instruct,"CSR-Select vs Fixed Seed-0, CLIPScore, ImageReward, PickScore, and HPSv2",scripts/08_bootstrap_stats.py,outputs/tables,no,Completed,true,"vs Fixed diff 0.0814 CI [0.0389,0.1278]; vs CLIPScore diff 0.1064 CI [0.0628,0.1594]; vs ImageReward diff 0.0942 CI [0.0586,0.1358]; vs PickScore diff 0.1025 CI [0.0603,0.1514]; vs HPSv2 diff 0.0767 CI [0.0431,0.1147]",outputs/tables/statistical_significance_flux_self300_stratified_60_vs_pickscore.csv,Stats computed locally from selected JSONL
EXP-GPU-T2ICOMP-SDXL60-004,public_benchmark_gpu,T2I-CompBench-60-auto-contract,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0 / Random / CLIPScore / ImageReward / PickScore / HPSv2 / CSR-Select,/root/autodl-tmp/projects/SCAlign/scripts/remote_t2i_compbench_pipeline.sh,/root/autodl-tmp/projects/SCAlign/outputs/t2i_compbench_sdxl_60,yes,Completed,true,Fixed 0.3833; Random 0.3858; CLIPScore 0.4333; ImageReward 0.4375; PickScore 0.3875; HPSv2 0.4208; CSR-Select 0.5625,server_audits/server_004_t2i_compbench_sdxl_60_20260514/t2i_compbench_sdxl_60_all_rewards_20260514/baseline_summary.csv,Auxiliary public benchmark subset; contracts auto-derived and checked:false
EXP-GPU-PARSER-INTERNVL-FLUX60-004,parser_robustness_gpu,self-built-stratified-60,FLUX.1-schnell,InternVL2.5-4B,Fixed Seed-0 / Random / InternVL-CSR-Select,/root/autodl-tmp/projects/SCAlign/scripts/remote_parser_after_t2i.sh,/root/autodl-tmp/projects/SCAlign/outputs/parser_robustness/internvl2_5_4b_flux60,yes,Completed,true,Fixed 0.5278; Random 0.5288; InternVL-CSR-Select 0.7031,server_audits/server_004_parser_robustness_internvl_flux60_20260514/parser_robustness_internvl_flux60_20260514/baseline_summary.csv,Parser-only robustness branch; reward baselines not rerun because they do not depend on parser output
EXP-HUMAN-PAIRWISE-120-20260514,human_eval,self-built-300-reviewed-and-flux60,SDXL / FLUX.1-schnell,Qwen2.5-VL-7B-Instruct,CSR-Select vs Fixed Seed-0 / CLIPScore / ImageReward / PickScore / HPSv2,scripts/15_analyze_pairwise_human_eval.py,outputs/human_eval/pairwise_20260514,no,Completed,true,CSR-Select preferred 120/120; no ties; no bad-prompt flags,outputs/human_eval/pairwise_20260514/human_eval_summary.csv,One filled response sheet; annotator_id auto_html_csr_side; report conservatively as single-response human preference check
